ID,Phone Number,Name,Person Info,Call Status,Remarks,Next Follow-up Date
2,+917769915068,Vivek,Likes to buy clothes from powerlook,Pending,,
1,+919322764396,Suyash,Regular customer of Powerlook Virar branch,Pending,,
3,+44-7700-900000,Ahmed Khan,CEO of XYZ Ltd.,Pending,,
4,+33-1-2345-6789,Marie Curie,Research scientist,Pending,,
5,+61-400-123-456,Emily Brown,Manager at ABC Corp.,Pending,,
6,+49-151-23456789,Hans Müller,Director at DEF GmbH,Pending,,
7,+81-90-1234-5678,Sakura Tanaka,Freelancer,Pending,,
8,+55-11-91234-5678,Carlos Silva,Interested in partnership,Pending,,
9,+27-82-123-4567,Nokuthula Dlamini,Tech enthusiast,Pending,,
10,+86-138-0012-3456,Wei Zhang,Startup founder,Pending,,
